qq,2019-02-08 13:08:30.579203,3,10,5
qq,2019-02-08 13:08:34.478091,3,10,5
qq,2019-02-08 13:08:35.680644,3,10,5
qq,2019-02-08-13.11.57,3,10,5
qq,2019-02-08-13:12:30,3,10,5
qwerdf,2019-02-08-13:13:53,2,8,6.0
qsdf,2019-02-08-13:26:40,0,0,0
gfdhfgfh,2019-02-08-13:28:45,1,8,8.0
ыафыфыыаыа,2019-02-13-10:53:29,1,12,12.0
коля,2019-02-13-17:56:38,1,26,26.0
qweqw,2019-02-15-10:32:58,1,34,34.0
ячсм,2019-02-23-15:40:57,1,13,13.0
srv,2020-05-03-18:15:59,1,17,17.0
spv,2020-05-03-18:18:57,2,29,26.0
spv,2020-05-03-18:32:38,1,56,56.0
Anonymous,2020-05-04-20:10:11,1,32,32.0
Anonymous,2020-05-05-17:10:59,1,64,64.0
